Text,Spam?
The bird is the word,N
Was checking out at kith,N
mine making to much noise,N
We chillin over here at 75 degrees lmao,N
should be dropping tomorrow selling well rn on ebay,N
"I am signed up fedex, and ups Accts. Sometimes they track better but I mostly use the shop app for that",N
When I hit the 550s it took like 2-3 weeks. Folks that hit on NB got their pairs before me,N
I was hanging out with my friend today and we went up to her aunt’s apartment,N
Yeah I think so Ive been in the house all day but I work tomorrow so we will see,N
I can’t show my fiancé so I’m showing y’all! We started designing my wedding dress!,N
HEY LADIES!! hopefully some of these will be on vinyls for RSD,N
If anyone has solo trip recommendations please DM me! Doesn't need to be tropical,N
Girl what no way I’m about to grab them too!! I have 8 orders already paid for,N
And whit also replied to someone who added me on LinkedIn like a week ago wow the world is so small,N
I don’t either ! I’m more of a waffle person! Lol my husband does tho so I figured I’d give it a shot because Valentine’s Day and what not but it was,N
"Oh nice! That’s sounds like a good weekend. Lol he was just saying that to say it, I didnt expect him to plan anything that’s why I told him I wanted to do something. Last year I just went out with somebody else.",N
hey ladies! anybody get their YZY coat yet. the black one? i may cancel it cause ummmm ????? lol,N
I keep getting notification submit tax info for these selling sites and I'm just rolling my eyes yall bc I know I sold over $600 on all of them,N
he made it seem like it’s RTS lol maybe he changed his mind.,N
which is why deposit bonuses are good/bad cause like ray said you gotta gamble hella untill your money is unlocked lmao,N
will this tie up your money like bovada? i still have 6% to go before i can cash out my bonus funds from referrals,N
i hear it but twitter one is better because incase you ever need to have refs for a botmart/tidal deal or if you wanna sell shoes to randoms. refs in here are limited to only people in here,N
My local GameStop bundle this weekend is PS5 Plus controller plus headset plus two games,N
Trying to open ticket on delivered products is there something wrong with it,N
"I mean to say are tickets down, it worked now (edited)",N
You guys can price match controllers too right. Forgot to ask in ticket (edited),N
Shit I’d buy it immediately,N
Ended up refunding the game,N
You weren’t fuckin with it or it was just OD hard?,N
"its hard just like dark souls games, I realized that I'd be better off spending time being productive than grinding games",N
Yeah that’s the reality of it unfortunately,N
Games be fun as shit but take up way too much time,N
LMAO,N
Man returned the game,N
anyone that plays apex here in masters (on pc)? looking for people to play with this season and prob push masters next season,N
Bought elden ring again for spring break turns out I skipped out of the tutorial so not bad now,N
Anyone playing fortnite now that they added no build mode?,N
anyone play rocket league?,N
yea,N
ayye you see the lambo in the shop?,N
"saw it just now, thats fire",N
bet some of the black market decals would look clean on that,N
yeee,N
what rank are you?,N
I play rocket league,N
Very fun game,N
what rank are you?,N
i havent placed on my account yet this season but was champ last season,N
ayye i’m c3 rn trying to get back to gc,N
Very fun game,N
yee you play often? (edited),N
ayye i’m c3 rn trying to get back to gc,N
